iter	Passed	Remaining
0	115	115093
1	117	58734
2	126	41966
3	130	32424
4	132	26321
5	134	22220
6	141	20131
7	150	18654
8	164	18150
9	166	16505
10	174	15720
11	177	14627
12	180	13667
13	182	12824
14	197	12972
15	201	12395
16	212	12287
17	214	11717
18	257	13313
19	263	12907
20	274	12813
21	280	12451
22	289	12281
23	293	11921
24	296	11575
25	307	11505
26	310	11188
27	328	11388
28	333	11176
29	336	10876
30	349	10925
31	358	10840
32	363	10653
33	365	10386
34	367	10129
35	369	9907
36	382	9965
37	385	9759
38	392	9681
39	401	9624
40	413	9682
41	429	9796
42	432	9627
43	441	9602
44	445	9447
45	447	9270
46	448	9102
47	455	9027
48	463	8986
49	477	9078
50	495	9212
51	497	9078
52	508	9088
53	519	9106
54	522	8971
55	524	8835
56	531	8794
57	539	8757
58	544	8689
59	547	8571
60	557	8587
61	575	8700
62	578	8599
63	589	8615
64	593	8536
65	600	8491
66	604	8414
67	609	8358
68	615	8307
69	619	8231
70	631	8257
71	635	8189
72	638	8109
73	646	8087
74	657	8113
75	659	8020
76	661	7930
77	666	7882
78	669	7808
79	676	7781
80	678	7702
81	711	7961
82	712	7866
83	721	7869
84	723	7787
85	725	7712
86	727	7635
87	732	7595
88	736	7542
89	738	7470
90	740	7398
91	742	7330
92	759	7403
93	771	7432
94	806	7684
95	818	7711
96	822	7654
97	824	7584
98	825	7514
99	830	7471
100	832	7408
101	835	7355
102	838	7300
103	847	7297
104	849	7239
105	851	7179
106	853	7124
107	909	7513
108	912	7460
109	914	7399
110	916	7337
111	917	7277
112	925	7266
113	930	7233
114	932	7177
115	934	7122
116	940	7095
117	979	7321
118	982	7274
119	1006	7377
120	1010	7341
121	1015	7311
122	1025	7308
123	1027	7259
124	1040	7283
125	1056	7324
126	1058	7276
127	1061	7232
128	1063	7179
129	1064	7127
130	1080	7167
131	1086	7143
132	1091	7116
133	1097	7095
134	1111	7120
135	1123	7135
136	1124	7085
137	1139	7115
138	1143	7082
139	1149	7063
140	1154	7035
141	1159	7003
142	1160	6957
143	1173	6973
144	1175	6931
145	1180	6908
146	1182	6864
147	1204	6934
148	1210	6911
149	1212	6869
150	1214	6828
151	1218	6796
152	1230	6813
153	1234	6783
154	1256	6847
155	1263	6835
156	1271	6828
157	1278	6812
158	1281	6775
159	1293	6790
160	1294	6746
161	1296	6707
162	1306	6706
163	1308	6669
164	1323	6696
165	1325	6660
166	1327	6620
167	1333	6606
168	1338	6581
169	1340	6545
170	1343	6510
171	1349	6495
172	1354	6475
173	1356	6440
174	1358	6403
175	1363	6382
176	1373	6384
177	1375	6351
178	1384	6350
179	1387	6322
180	1391	6294
181	1402	6302
182	1404	6270
183	1407	6243
184	1420	6257
185	1423	6228
186	1433	6233
187	1435	6201
188	1437	6168
189	1440	6139
190	1452	6151
191	1454	6119
192	1463	6119
193	1467	6097
194	1470	6068
195	1481	6076
196	1483	6045
197	1490	6035
198	1492	6007
199	1508	6032
200	1516	6027
201	1520	6007
202	1522	5978
203	1525	5952
204	1538	5964
205	1539	5934
206	1550	5940
207	1554	5919
208	1558	5897
209	1559	5868
210	1561	5840
211	1575	5857
212	1584	5852
213	1588	5835
214	1590	5807
215	1592	5780
216	1597	5765
217	1603	5753
218	1606	5727
219	1609	5706
220	1616	5697
221	1620	5680
222	1623	5656
223	1625	5631
224	1631	5618
225	1632	5592
226	1635	5569
227	1637	5544
228	1642	5530
229	1644	5505
230	1646	5480
231	1655	5481
232	1658	5458
233	1660	5435
234	1677	5460
235	1689	5468
236	1692	5447
237	1706	5464
238	1709	5443
239	1714	5429
240	1716	5406
241	1718	5382
242	1728	5385
243	1734	5372
244	1736	5350
245	1752	5370
246	1762	5373
247	1766	5356
248	1776	5358
249	1778	5336
250	1786	5331
251	1788	5309
252	1790	5286
253	1792	5263
254	1793	5241
255	1795	5218
256	1797	5196
257	1804	5188
258	1812	5184
259	1817	5173
260	1829	5180
261	1842	5191
262	1845	5171
263	1852	5164
264	1855	5146
265	1857	5125
266	1863	5115
267	1872	5114
268	1874	5094
269	1880	5084
270	1888	5080
271	1890	5060
272	1902	5065
273	1905	5049
274	1907	5028
275	1920	5038
276	1922	5018
277	1928	5007
278	1936	5004
279	1938	4984
280	1945	4977
281	1953	4973
282	1967	4984
283	1976	4984
284	1980	4967
285	1982	4950
286	1993	4953
287	1997	4939
288	2001	4924
289	2004	4907
290	2006	4887
291	2008	4869
292	2011	4852
293	2013	4835
294	2017	4820
295	2019	4803
296	2021	4784
297	2025	4770
298	2027	4754
299	2033	4744
300	2035	4727
301	2037	4709
302	2039	4690
303	2041	4674
